"","oid","ent","sectionId"
"355",77,3,326
"356",77,4,327
"357",77,5,311
"358",77,6,299
"359",78,1,245
"360",78,2,249
"361",78,3,326
"362",78,4,327
"363",78,5,371
"364",78,6,447
"365",79,1,273
"366",79,2,275
"367",79,3,334
"368",79,4,349
"369",79,5,420
"370",80,1,430
"371",80,2,421
"372",80,3,326
"373",80,4,286
"374",80,5,276
"375",81,1,302
"376",81,2,300
"377",81,3,376
"378",82,1,245
"379",82,2,247
"380",82,3,296
"381",82,4,299
"382",83,1,302
"383",83,2,301
"384",84,1,321
"385",84,2,349
"386",84,3,397
"387",84,4,398
"388",84,5,447
"389",85,1,392
"390",85,2,421
"391",85,3,326
"392",85,4,327
"393",85,5,376
"394",86,1,298
"395",86,2,277
"396",86,3,275
"397",86,4,334
"398",86,5,349
"399",86,6,393
"400",87,1,392
"401",87,2,421
"402",87,3,326
"403",87,4,327
"404",87,5,376
"405",88,1,245
"406",88,2,247
"407",88,3,296
"408",88,4,300
"409",88,5,376
"410",89,1,321
"411",89,2,251
"412",89,3,247
"413",89,4,296
"414",89,5,299
"415",90,1,392
"416",90,2,397
"417",90,3,398
"418",90,4,447
"419",91,1,245
"420",91,2,249
"421",91,3,349
"422",91,4,397
"423",91,5,400
"424",92,1,392
"425",92,2,421
"426",92,3,326
"427",92,4,327
"428",92,5,376
"429",93,1,298
"430",93,2,300
"431",93,3,342
"432",93,4,329
"433",93,5,405
"434",93,6,420
"435",94,1,321
"436",94,2,326
"437",94,3,327
"438",94,4,376
"439",95,1,321
"440",95,2,251
"441",95,3,247
"442",95,4,296
"443",95,5,299
"444",96,1,409
"445",96,2,398
"446",96,3,447
"447",97,1,392
"448",97,2,397
"449",97,3,398
"450",97,4,447
"451",98,1,441
"452",98,2,370
"453",98,3,311
"454",98,4,299
"455",99,1,392
"456",99,2,421
"457",99,3,326
"458",99,4,327
"459",99,5,311
"460",99,6,299
"461",100,1,321
"462",100,2,251
"463",100,3,247
"464",100,4,296
"465",100,5,299
"466",101,1,372
"467",101,2,371
"468",101,3,413
"469",101,4,400
"470",102,1,321
"471",102,2,251
"472",102,3,247
"473",102,4,296
"474",102,5,299
"475",103,1,409
"476",103,2,405
"477",103,3,421
"478",103,4,322
"479",104,1,443
"480",104,2,370
"481",104,3,342
"482",104,4,286
"483",104,5,248
"484",104,6,253
"485",105,1,409
"486",105,2,402
"487",105,3,286
"488",105,4,276
"489",106,1,443
"490",106,2,413
"491",106,3,405
"492",106,4,420
"493",107,1,430
"494",107,2,397
"495",107,3,398
"496",107,4,447
"497",108,1,443
"498",108,2,442
"499",109,1,321
"500",109,2,251
"501",109,3,247
"502",109,4,296
"503",109,5,299
"504",110,1,298
"505",110,2,300
"506",110,3,371
"507",110,4,442
"508",111,1,245
"509",111,2,247
"510",111,3,296
"511",111,4,299
"512",112,1,430
"513",112,2,421
"514",112,3,251
"515",112,4,253
"516",113,1,245
"517",113,2,247
"518",113,3,296
"519",113,4,300
"520",113,5,376
"521",114,1,392
"522",114,2,397
"523",114,3,398
"524",114,4,447
"525",115,1,430
"526",115,2,397
"527",115,3,400
"528",116,1,245
"529",116,2,247
"530",116,3,296
"531",116,4,300
"532",116,5,376
"533",117,1,372
"534",117,2,311
"535",117,3,301
"536",118,1,430
"537",118,2,421
"538",118,3,251
"539",118,4,246
"540",119,1,245
"541",119,2,247
"542",119,3,296
"543",119,4,300
"544",119,5,376
"545",120,1,392
"546",120,2,421
"547",120,3,326
"548",120,4,327
"549",120,5,311
"550",120,6,299
"551",121,1,321
"552",121,2,251
"553",121,3,247
"554",121,4,296
"555",121,5,301
"556",122,1,321
"557",122,2,349
"558",122,3,397
"559",122,4,398
"560",122,5,447
"561",123,1,252
"562",123,2,247
"563",123,3,296
"564",123,4,299
"565",124,1,392
"566",124,2,421
"567",124,3,326
"568",124,4,327
"569",124,5,311
"570",124,6,299
"571",125,1,372
"572",125,2,311
"573",125,3,277
"574",125,4,276
"575",126,1,392
"576",126,2,421
"577",126,3,326
"578",126,4,327
"579",126,5,376
"580",127,1,321
"581",127,2,349
"582",127,3,397
"583",127,4,398
"584",127,5,447
"585",128,1,321
"586",128,2,349
"587",128,3,397
"588",128,4,398
"589",128,5,447
"590",129,1,245
"591",129,2,249
"592",129,3,349
"593",129,4,420
"594",130,1,430
"595",130,2,421
"596",130,3,251
"597",130,4,253
"598",131,1,273
"599",131,2,248
"600",131,3,253
"601",132,1,298
"602",132,2,277
"603",132,3,248
"604",132,4,249
"605",132,5,322
"606",133,1,245
"607",133,2,247
"608",133,3,296
"609",133,4,300
"610",133,5,376
"611",134,1,392
"612",134,2,397
"613",134,3,400
"614",135,1,245
"615",135,2,249
"616",135,3,326
"617",135,4,327
"618",135,5,371
"619",135,6,447
"620",136,1,392
"621",136,2,397
"622",136,3,398
"623",136,4,447
"624",137,1,443
"625",137,2,370
"626",137,3,311
"627",137,4,277
"628",137,5,276
"629",138,1,441
"630",138,2,413
"631",138,3,402
"632",138,4,334
"633",138,5,322
"634",139,1,245
"635",139,2,247
"636",139,3,296
"637",139,4,300
"638",139,5,376
"639",140,1,245
"640",140,2,249
"641",140,3,349
"642",140,4,393
"643",141,1,245
"644",141,2,247
"645",141,3,276
"646",142,1,441
"647",142,2,413
"648",142,3,402
"649",142,4,286
"650",142,5,276
"651",143,1,245
"652",143,2,247
"653",143,3,296
"654",143,4,299
"655",144,1,372
"656",144,2,342
"657",144,3,286
"658",144,4,248
"659",144,5,246
"660",145,1,302
"661",145,2,300
"662",145,3,342
"663",145,4,334
"664",145,5,349
"665",145,6,393
"666",146,1,321
"667",146,2,349
"668",146,3,397
"669",146,4,398
"670",146,5,447
"671",147,1,321
"672",147,2,349
"673",147,3,397
"674",147,4,398
"675",147,5,447
"676",148,1,298
"677",148,2,277
"678",148,3,248
"679",148,4,253
"680",149,1,392
"681",149,2,421
"682",149,3,326
"683",149,4,327
"684",149,5,376
"685",150,1,245
"686",150,2,249
"687",150,3,322
"688",151,1,443
"689",151,2,442
"690",152,1,372
"691",152,2,371
"692",152,3,413
"693",152,4,405
"694",152,5,393
"695",153,1,392
"696",153,2,397
"697",153,3,398
"698",153,4,447
"699",154,1,430
"700",154,2,421
"701",154,3,322
"702",155,1,392
"703",155,2,421
"704",155,3,326
"705",155,4,286
"706",155,5,296
"707",155,6,301
"708",156,1,321
"709",156,2,349
"710",156,3,397
"711",156,4,400
"712",157,1,245
"713",157,2,247
"714",157,3,296
"715",157,4,299
"716",158,1,392
"717",158,2,397
"718",158,3,398
"719",158,4,447
"720",159,1,273
"721",159,2,248
"722",159,3,246
"723",160,1,409
"724",160,2,405
"725",160,3,421
"726",160,4,322
"727",161,1,443
"728",161,2,370
"729",161,3,342
"730",161,4,286
"731",161,5,248
"732",161,6,253
"733",162,1,321
"734",162,2,251
"735",162,3,246
"736",163,1,392
"737",163,2,421
"738",163,3,326
"739",163,4,327
