"","oid","ent","sectionId"
"355",79,3,248
"356",79,4,249
"357",79,5,322
"358",80,1,409
"359",80,2,405
"360",80,3,421
"361",80,4,251
"362",80,5,253
"363",81,1,298
"364",81,2,277
"365",81,3,275
"366",81,4,334
"367",81,5,349
"368",81,6,393
"369",82,1,392
"370",82,2,421
"371",82,3,326
"372",82,4,327
"373",82,5,376
"374",83,1,321
"375",83,2,251
"376",83,3,247
"377",83,4,296
"378",83,5,299
"379",84,1,409
"380",84,2,405
"381",84,3,421
"382",84,4,251
"383",84,5,246
"384",85,1,298
"385",85,2,300
"386",85,3,342
"387",85,4,329
"388",85,5,400
"389",86,1,430
"390",86,2,397
"391",86,3,400
"392",87,1,245
"393",87,2,249
"394",87,3,326
"395",87,4,327
"396",87,5,371
"397",87,6,447
"398",88,1,321
"399",88,2,349
"400",88,3,397
"401",88,4,400
"402",89,1,441
"403",89,2,413
"404",89,3,402
"405",89,4,286
"406",89,5,248
"407",89,6,253
"408",90,1,302
"409",90,2,300
"410",90,3,342
"411",90,4,334
"412",90,5,322
"413",91,1,273
"414",91,2,275
"415",91,3,329
"416",91,4,398
"417",91,5,442
"418",92,1,302
"419",92,2,300
"420",92,3,342
"421",92,4,334
"422",92,5,322
"423",93,1,302
"424",93,2,300
"425",93,3,371
"426",93,4,442
"427",94,1,392
"428",94,2,397
"429",94,3,398
"430",94,4,447
"431",95,1,273
"432",95,2,296
"433",95,3,301
"434",96,1,302
"435",96,2,300
"436",96,3,342
"437",96,4,334
"438",96,5,322
"439",97,1,302
"440",97,2,300
"441",97,3,342
"442",97,4,334
"443",97,5,349
"444",97,6,393
"445",98,1,302
"446",98,2,300
"447",98,3,342
"448",98,4,334
"449",98,5,349
"450",98,6,393
"451",99,1,298
"452",99,2,277
"453",99,3,275
"454",99,4,334
"455",99,5,349
"456",99,6,393
"457",100,1,372
"458",100,2,342
"459",100,3,334
"460",100,4,322
"461",101,1,372
"462",101,2,311
"463",101,3,277
"464",101,4,276
"465",102,1,273
"466",102,2,296
"467",102,3,299
"468",103,1,441
"469",103,2,413
"470",103,3,405
"471",103,4,393
"472",104,1,321
"473",104,2,349
"474",104,3,393
"475",105,1,321
"476",105,2,349
"477",105,3,397
"478",105,4,398
"479",105,5,447
"480",106,1,298
"481",106,2,277
"482",106,3,275
"483",106,4,334
"484",106,5,349
"485",106,6,393
"486",107,1,298
"487",107,2,277
"488",107,3,248
"489",107,4,246
"490",108,1,392
"491",108,2,421
"492",108,3,326
"493",108,4,327
"494",108,5,376
"495",109,1,372
"496",109,2,371
"497",109,3,413
"498",109,4,405
"499",109,5,420
"500",110,1,298
"501",110,2,277
"502",110,3,275
"503",110,4,334
"504",110,5,349
"505",110,6,393
"506",111,1,441
"507",111,2,370
"508",111,3,311
"509",111,4,299
"510",112,1,321
"511",112,2,349
"512",112,3,393
"513",113,1,430
"514",113,2,393
"515",114,1,443
"516",114,2,413
"517",114,3,405
"518",114,4,393
"519",115,1,372
"520",115,2,311
"521",115,3,277
"522",115,4,276
"523",116,1,298
"524",116,2,277
"525",116,3,248
"526",116,4,246
"527",117,1,409
"528",117,2,398
"529",117,3,370
"530",117,4,376
"531",118,1,245
"532",118,2,249
"533",118,3,326
"534",118,4,327
"535",118,5,371
"536",118,6,447
"537",119,1,430
"538",119,2,421
"539",119,3,251
"540",119,4,253
"541",120,1,252
"542",120,2,247
"543",120,3,275
"544",120,4,329
"545",120,5,398
"546",120,6,442
"547",121,1,298
"548",121,2,277
"549",121,3,248
"550",121,4,246
"551",122,1,321
"552",122,2,349
"553",122,3,397
"554",122,4,398
"555",122,5,447
"556",123,1,372
"557",123,2,371
"558",123,3,447
"559",124,1,372
"560",124,2,342
"561",124,3,334
"562",124,4,322
"563",125,1,298
"564",125,2,277
"565",125,3,248
"566",125,4,249
"567",125,5,322
"568",126,1,273
"569",126,2,248
"570",126,3,249
"571",126,4,322
"572",127,1,409
"573",127,2,405
"574",127,3,421
"575",127,4,322
"576",128,1,372
"577",128,2,371
"578",128,3,413
"579",128,4,405
"580",128,5,393
"581",129,1,302
"582",129,2,300
"583",129,3,342
"584",129,4,334
"585",129,5,349
"586",129,6,393
"587",130,1,298
"588",130,2,277
"589",130,3,248
"590",130,4,249
"591",130,5,322
"592",131,1,302
"593",131,2,300
"594",131,3,342
"595",131,4,334
"596",131,5,349
"597",131,6,393
"598",132,1,298
"599",132,2,277
"600",132,3,248
"601",132,4,249
"602",132,5,322
"603",133,1,372
"604",133,2,311
"605",133,3,277
"606",133,4,276
"607",134,1,372
"608",134,2,342
"609",134,3,286
"610",134,4,248
"611",134,5,246
"612",135,1,372
"613",135,2,342
"614",135,3,334
"615",135,4,322
"616",136,1,302
"617",136,2,300
"618",136,3,342
"619",136,4,334
"620",136,5,322
"621",137,1,302
"622",137,2,300
"623",137,3,342
"624",137,4,334
"625",137,5,349
"626",137,6,393
"627",138,1,321
"628",138,2,349
"629",138,3,397
"630",138,4,400
"631",139,1,298
"632",139,2,277
"633",139,3,248
"634",139,4,249
"635",139,5,322
"636",140,1,298
"637",140,2,277
"638",140,3,275
"639",140,4,334
"640",140,5,349
"641",140,6,393
"642",141,1,372
"643",141,2,342
"644",141,3,334
"645",141,4,322
"646",142,1,298
"647",142,2,277
"648",142,3,248
"649",142,4,249
"650",142,5,322
"651",143,1,298
"652",143,2,277
"653",143,3,248
"654",143,4,253
"655",144,1,321
"656",144,2,349
"657",144,3,397
"658",144,4,398
"659",144,5,447
"660",145,1,441
"661",145,2,370
"662",145,3,311
"663",145,4,299
"664",146,1,409
"665",146,2,405
"666",146,3,421
"667",146,4,251
"668",146,5,246
"669",147,1,245
"670",147,2,247
"671",147,3,276
"672",148,1,245
"673",148,2,249
"674",148,3,326
"675",148,4,327
"676",148,5,376
"677",149,1,245
"678",149,2,247
"679",149,3,296
"680",149,4,300
"681",149,5,376
"682",150,1,372
"683",150,2,342
"684",150,3,334
"685",150,4,322
"686",151,1,392
"687",151,2,421
"688",151,3,326
"689",151,4,327
"690",151,5,376
"691",152,1,430
"692",152,2,397
"693",152,3,402
"694",152,4,286
"695",152,5,276
"696",153,1,298
"697",153,2,277
"698",153,3,248
"699",153,4,249
"700",153,5,322
"701",154,1,372
"702",154,2,311
"703",154,3,299
"704",155,1,298
"705",155,2,277
"706",155,3,248
"707",155,4,246
"708",156,1,392
"709",156,2,421
"710",156,3,326
"711",156,4,327
"712",156,5,376
"713",157,1,392
"714",157,2,397
"715",157,3,402
"716",157,4,327
"717",157,5,376
"718",158,1,392
