"","oid","ent","sectionId"
"310",68,1,302
"311",68,2,300
"312",68,3,342
"313",68,4,334
"314",68,5,349
"315",68,6,393
"316",69,1,372
"317",69,2,371
"318",69,3,413
"319",69,4,405
"320",69,5,393
"321",70,1,392
"322",70,2,421
"323",70,3,326
"324",70,4,327
"325",70,5,376
"326",71,1,443
"327",71,2,370
"328",71,3,311
"329",71,4,277
"330",71,5,276
"331",72,1,245
"332",72,2,249
"333",72,3,326
"334",72,4,327
"335",72,5,371
"336",72,6,447
"337",73,1,245
"338",73,2,247
"339",73,3,296
"340",73,4,299
"341",74,1,273
"342",74,2,296
"343",74,3,300
"344",74,4,371
"345",74,5,447
"346",75,1,321
"347",75,2,326
"348",75,3,327
"349",75,4,376
"350",76,1,392
"351",76,2,421
"352",76,3,326
"353",76,4,327
"354",76,5,376
"355",77,1,441
"356",77,2,447
"357",78,1,372
"358",78,2,342
"359",78,3,334
"360",78,4,322
"361",79,1,298
"362",79,2,300
"363",79,3,376
"364",80,1,302
"365",80,2,277
"366",80,3,248
"367",80,4,246
"368",81,1,298
"369",81,2,277
"370",81,3,275
"371",81,4,334
"372",81,5,349
"373",81,6,393
"374",82,1,409
"375",82,2,405
"376",82,3,421
"377",82,4,251
"378",82,5,246
"379",83,1,321
"380",83,2,349
"381",83,3,420
"382",84,1,321
"383",84,2,251
"384",84,3,247
"385",84,4,296
"386",84,5,299
"387",85,1,372
"388",85,2,371
"389",85,3,447
"390",86,1,321
"391",86,2,349
"392",86,3,397
"393",86,4,398
"394",86,5,447
"395",87,1,298
"396",87,2,277
"397",87,3,275
"398",87,4,334
"399",87,5,349
"400",87,6,393
"401",88,1,273
"402",88,2,296
"403",88,3,300
"404",88,4,376
"405",89,1,392
"406",89,2,421
"407",89,3,326
"408",89,4,327
"409",89,5,311
"410",89,6,299
"411",90,1,302
"412",90,2,300
"413",90,3,342
"414",90,4,334
"415",90,5,349
"416",90,6,393
"417",91,1,298
"418",91,2,277
"419",91,3,275
"420",91,4,334
"421",91,5,349
"422",91,6,393
"423",92,1,372
"424",92,2,342
"425",92,3,286
"426",92,4,248
"427",92,5,246
"428",93,1,302
"429",93,2,300
"430",93,3,342
"431",93,4,334
"432",93,5,322
"433",94,1,302
"434",94,2,300
"435",94,3,376
"436",95,1,321
"437",95,2,349
"438",95,3,393
"439",96,1,245
"440",96,2,247
"441",96,3,296
"442",96,4,299
"443",97,1,409
"444",97,2,402
"445",97,3,327
"446",97,4,311
"447",97,5,301
"448",98,1,443
"449",98,2,370
"450",98,3,311
"451",98,4,277
"452",98,5,276
"453",99,1,392
"454",99,2,421
"455",99,3,326
"456",99,4,327
"457",99,5,376
"458",100,1,372
"459",100,2,342
"460",100,3,334
"461",100,4,322
"462",101,1,245
"463",101,2,247
"464",101,3,276
"465",102,1,273
"466",102,2,275
"467",102,3,329
"468",102,4,400
"469",103,1,409
"470",103,2,405
"471",103,3,421
"472",103,4,251
"473",103,5,246
"474",104,1,302
"475",104,2,277
"476",104,3,248
"477",104,4,246
"478",105,1,321
"479",105,2,349
"480",105,3,397
"481",105,4,398
