"","oid","ent","sectionId"
"4076",678,6,442
"4077",679,1,252
"4078",679,2,247
"4079",679,3,296
"4080",679,4,300
"4081",679,5,371
"4082",679,6,442
"4083",680,1,252
"4084",680,2,247
"4085",680,3,296
"4086",680,4,300
"4087",680,5,371
"4088",680,6,442
"4089",681,1,252
"4090",681,2,247
"4091",681,3,296
"4092",681,4,300
"4093",681,5,371
"4094",681,6,442
"4095",682,1,252
"4096",682,2,247
"4097",682,3,296
"4098",682,4,300
"4099",682,5,371
"4100",682,6,442
"4101",683,1,252
"4102",683,2,247
"4103",683,3,296
"4104",683,4,300
"4105",683,5,371
"4106",683,6,442
"4107",684,1,252
"4108",684,2,247
"4109",684,3,296
"4110",684,4,300
"4111",684,5,371
"4112",684,6,442
"4113",685,1,252
"4114",685,2,247
"4115",685,3,296
"4116",685,4,300
"4117",685,5,371
"4118",685,6,442
"4119",686,1,252
"4120",686,2,247
"4121",686,3,275
"4122",686,4,329
"4123",686,5,398
"4124",686,6,442
"4125",687,1,252
"4126",687,2,247
"4127",687,3,275
"4128",687,4,329
"4129",687,5,398
"4130",687,6,442
"4131",688,1,252
"4132",688,2,249
"4133",688,3,326
"4134",688,4,329
"4135",688,5,398
"4136",688,6,442
"4137",689,1,252
"4138",689,2,247
"4139",689,3,296
"4140",689,4,300
"4141",689,5,371
"4142",689,6,442
"4143",690,1,252
"4144",690,2,247
"4145",690,3,275
"4146",690,4,329
"4147",690,5,398
"4148",690,6,442
"4149",691,1,252
"4150",691,2,247
"4151",691,3,296
"4152",691,4,300
"4153",691,5,371
"4154",691,6,442
"4155",692,1,252
"4156",692,2,247
"4157",692,3,296
"4158",692,4,300
"4159",692,5,371
"4160",692,6,442
"4161",693,1,252
"4162",693,2,247
"4163",693,3,296
"4164",693,4,300
"4165",693,5,371
"4166",693,6,442
"4167",694,1,252
"4168",694,2,247
"4169",694,3,296
"4170",694,4,300
"4171",694,5,371
"4172",694,6,442
"4173",695,1,252
"4174",695,2,247
"4175",695,3,296
"4176",695,4,300
"4177",695,5,371
"4178",695,6,442
"4179",696,1,252
"4180",696,2,247
"4181",696,3,296
"4182",696,4,300
"4183",696,5,371
"4184",696,6,442
"4185",697,1,252
"4186",697,2,247
"4187",697,3,275
"4188",697,4,329
"4189",697,5,398
"4190",697,6,442
"4191",698,1,252
"4192",698,2,247
"4193",698,3,296
"4194",698,4,300
"4195",698,5,371
"4196",698,6,442
"4197",699,1,252
"4198",699,2,247
"4199",699,3,296
"4200",699,4,300
"4201",699,5,371
"4202",699,6,442
"4203",700,1,252
"4204",700,2,247
"4205",700,3,296
"4206",700,4,300
"4207",700,5,371
"4208",700,6,442
"4209",701,1,252
"4210",701,2,247
"4211",701,3,275
"4212",701,4,329
"4213",701,5,398
"4214",701,6,442
"4215",702,1,252
"4216",702,2,247
"4217",702,3,296
"4218",702,4,300
"4219",702,5,371
"4220",702,6,442
"4221",703,1,252
"4222",703,2,247
"4223",703,3,296
"4224",703,4,300
"4225",703,5,371
"4226",703,6,442
"4227",704,1,252
"4228",704,2,247
"4229",704,3,296
"4230",704,4,300
"4231",704,5,371
"4232",704,6,442
"4233",705,1,252
"4234",705,2,247
"4235",705,3,296
"4236",705,4,300
"4237",705,5,371
"4238",705,6,442
"4239",706,1,252
"4240",706,2,247
"4241",706,3,275
"4242",706,4,329
"4243",706,5,398
"4244",706,6,442
"4245",707,1,252
"4246",707,2,247
"4247",707,3,296
"4248",707,4,300
"4249",707,5,371
"4250",707,6,442
"4251",708,1,252
"4252",708,2,247
"4253",708,3,296
"4254",708,4,300
"4255",708,5,371
"4256",708,6,442
"4257",709,1,252
"4258",709,2,247
"4259",709,3,275
"4260",709,4,329
"4261",709,5,398
"4262",709,6,442
"4263",710,1,252
"4264",710,2,247
"4265",710,3,296
"4266",710,4,300
"4267",710,5,371
"4268",710,6,442
"4269",711,1,252
"4270",711,2,247
"4271",711,3,296
"4272",711,4,300
"4273",711,5,371
"4274",711,6,442
"4275",712,1,252
"4276",712,2,247
"4277",712,3,275
"4278",712,4,329
"4279",712,5,398
"4280",712,6,442
"4281",713,1,252
"4282",713,2,247
"4283",713,3,296
"4284",713,4,300
"4285",713,5,371
"4286",713,6,442
"4287",714,1,252
"4288",714,2,247
"4289",714,3,296
"4290",714,4,300
"4291",714,5,371
